feature,level,group,patient_count,group_total,group_fraction,chi2_p_value_descriptive,chi2_statistic_descriptive,chi2_dof
development_stage,58-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,59-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,60-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,61-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,62-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,63-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,64-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,65-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,66-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,68-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,69-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,70-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,71-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,73-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,74-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,75-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,83-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,20-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,21-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,22-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,23-year-old stage,healthy,4,98,0.04081632653061224,0.03723899271991521,135.61566695240163,108.0
development_stage,24-year-old stage,healthy,5,98,0.05102040816326531,0.03723899271991521,135.61566695240163,108.0
development_stage,25-year-old stage,healthy,5,98,0.05102040816326531,0.03723899271991521,135.61566695240163,108.0
development_stage,26-year-old stage,healthy,5,98,0.05102040816326531,0.03723899271991521,135.61566695240163,108.0
development_stage,27-year-old stage,healthy,9,98,0.09183673469387756,0.03723899271991521,135.61566695240163,108.0
development_stage,28-year-old stage,healthy,5,98,0.05102040816326531,0.03723899271991521,135.61566695240163,108.0
development_stage,29-year-old stage,healthy,2,98,0.02040816326530612,0.03723899271991521,135.61566695240163,108.0
development_stage,30-year-old stage,healthy,4,98,0.04081632653061224,0.03723899271991521,135.61566695240163,108.0
development_stage,31-year-old stage,healthy,4,98,0.04081632653061224,0.03723899271991521,135.61566695240163,108.0
development_stage,32-year-old stage,healthy,4,98,0.04081632653061224,0.03723899271991521,135.61566695240163,108.0
development_stage,33-year-old stage,healthy,8,98,0.08163265306122448,0.03723899271991521,135.61566695240163,108.0
development_stage,34-year-old stage,healthy,8,98,0.08163265306122448,0.03723899271991521,135.61566695240163,108.0
development_stage,35-year-old stage,healthy,4,98,0.04081632653061224,0.03723899271991521,135.61566695240163,108.0
development_stage,36-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,37-year-old stage,healthy,2,98,0.02040816326530612,0.03723899271991521,135.61566695240163,108.0
development_stage,38-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,39-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,40-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,41-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,42-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,43-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,44-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,45-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,46-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,47-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,48-year-old stage,healthy,3,98,0.030612244897959183,0.03723899271991521,135.61566695240163,108.0
development_stage,49-year-old stage,healthy,2,98,0.02040816326530612,0.03723899271991521,135.61566695240163,108.0
development_stage,50-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,51-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,52-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,53-year-old stage,healthy,2,98,0.02040816326530612,0.03723899271991521,135.61566695240163,108.0
development_stage,54-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,55-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,56-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,57-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,58-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,59-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,60-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,61-year-old stage,healthy,2,98,0.02040816326530612,0.03723899271991521,135.61566695240163,108.0
development_stage,62-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,63-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,64-year-old stage,healthy,3,98,0.030612244897959183,0.03723899271991521,135.61566695240163,108.0
development_stage,65-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,66-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,68-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,69-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,70-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,71-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,73-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,74-year-old stage,healthy,2,98,0.02040816326530612,0.03723899271991521,135.61566695240163,108.0
development_stage,75-year-old stage,healthy,1,98,0.01020408163265306,0.03723899271991521,135.61566695240163,108.0
development_stage,83-year-old stage,healthy,0,98,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,20-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,21-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,22-year-old stage,managed,0,148,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,23-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,24-year-old stage,managed,0,148,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,25-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
development_stage,26-year-old stage,managed,0,148,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,27-year-old stage,managed,5,148,0.033783783783783786,0.03723899271991521,135.61566695240163,108.0
development_stage,28-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,29-year-old stage,managed,8,148,0.05405405405405406,0.03723899271991521,135.61566695240163,108.0
development_stage,30-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,31-year-old stage,managed,5,148,0.033783783783783786,0.03723899271991521,135.61566695240163,108.0
development_stage,32-year-old stage,managed,4,148,0.02702702702702703,0.03723899271991521,135.61566695240163,108.0
development_stage,33-year-old stage,managed,4,148,0.02702702702702703,0.03723899271991521,135.61566695240163,108.0
development_stage,34-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,35-year-old stage,managed,4,148,0.02702702702702703,0.03723899271991521,135.61566695240163,108.0
development_stage,36-year-old stage,managed,4,148,0.02702702702702703,0.03723899271991521,135.61566695240163,108.0
development_stage,37-year-old stage,managed,5,148,0.033783783783783786,0.03723899271991521,135.61566695240163,108.0
development_stage,38-year-old stage,managed,4,148,0.02702702702702703,0.03723899271991521,135.61566695240163,108.0
development_stage,39-year-old stage,managed,5,148,0.033783783783783786,0.03723899271991521,135.61566695240163,108.0
development_stage,40-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,41-year-old stage,managed,4,148,0.02702702702702703,0.03723899271991521,135.61566695240163,108.0
development_stage,42-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,43-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,44-year-old stage,managed,0,148,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,45-year-old stage,managed,8,148,0.05405405405405406,0.03723899271991521,135.61566695240163,108.0
development_stage,46-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,47-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,48-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,49-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,50-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
development_stage,51-year-old stage,managed,5,148,0.033783783783783786,0.03723899271991521,135.61566695240163,108.0
development_stage,52-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
development_stage,53-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,54-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,55-year-old stage,managed,5,148,0.033783783783783786,0.03723899271991521,135.61566695240163,108.0
development_stage,56-year-old stage,managed,4,148,0.02702702702702703,0.03723899271991521,135.61566695240163,108.0
development_stage,57-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,58-year-old stage,managed,5,148,0.033783783783783786,0.03723899271991521,135.61566695240163,108.0
development_stage,59-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,60-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,61-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
development_stage,62-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,63-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,64-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,65-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
development_stage,66-year-old stage,managed,3,148,0.02027027027027027,0.03723899271991521,135.61566695240163,108.0
development_stage,68-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,69-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,70-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
development_stage,71-year-old stage,managed,2,148,0.013513513513513514,0.03723899271991521,135.61566695240163,108.0
development_stage,73-year-old stage,managed,0,148,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,74-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
development_stage,75-year-old stage,managed,0,148,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,83-year-old stage,managed,1,148,0.006756756756756757,0.03723899271991521,135.61566695240163,108.0
disease,normal,flare,0,14,0.0,3.481106839904301e-57,260.0,2.0
disease,systemic lupus erythematosus,flare,14,14,1.0,3.481106839904301e-57,260.0,2.0
disease,normal,healthy,98,98,1.0,3.481106839904301e-57,260.0,2.0
disease,systemic lupus erythematosus,healthy,0,98,0.0,3.481106839904301e-57,260.0,2.0
disease,normal,managed,0,148,0.0,3.481106839904301e-57,260.0,2.0
disease,systemic lupus erythematosus,managed,148,148,1.0,3.481106839904301e-57,260.0,2.0
